year,city,avg_temp
1743,Amsterdam,7.43
1744,Amsterdam,10.31
1745,Amsterdam,3.06
1746,Amsterdam,
1747,Amsterdam,
1748,Amsterdam,
1749,Amsterdam,
1750,Amsterdam,10.04
1750,Global,8.72
1751,Amsterdam,9.63
1751,Global,7.98
1752,Amsterdam,5.97
1752,Global,5.78
1753,Amsterdam,9.08
1753,Global,8.39
1754,Amsterdam,8.72
1754,Global,8.47
1755,Amsterdam,8.55
1755,Global,8.36
1756,Amsterdam,9.17
1756,Global,8.85
1757,Amsterdam,9.05
1757,Global,9.02
1758,Amsterdam,8.79
1758,Global,6.74
1759,Amsterdam,9.64
1759,Global,7.99
1760,Amsterdam,9.14
1760,Global,7.19
1761,Amsterdam,9.41
1761,Global,8.77
1762,Amsterdam,8.58
1762,Global,8.61
1763,Amsterdam,8.44
1763,Global,7.50
1764,Amsterdam,9.07
1764,Global,8.40
1765,Amsterdam,8.87
1765,Global,8.25
1766,Amsterdam,8.85
1766,Global,8.41
1767,Amsterdam,8.50
1767,Global,8.22
1768,Amsterdam,8.61
1768,Global,6.78
1769,Amsterdam,8.81
1769,Global,7.69
1770,Amsterdam,8.84
1770,Global,7.69
1771,Amsterdam,8.22
1771,Global,7.85
1772,Amsterdam,9.30
1772,Global,8.19
1773,Amsterdam,9.54
1773,Global,8.22
1774,Amsterdam,8.90
1774,Global,8.77
1775,Amsterdam,9.93
1775,Global,9.18
1776,Amsterdam,8.89
1776,Global,8.30
1777,Amsterdam,8.78
1777,Global,8.26
1778,Amsterdam,9.56
1778,Global,8.54
1779,Amsterdam,10.57
1779,Global,8.98
1780,Amsterdam,9.25
1780,Global,9.43
1781,Amsterdam,10.12
1781,Global,8.10
1782,Amsterdam,8.36
1782,Global,7.90
1783,Amsterdam,9.78
1783,Global,7.68
1784,Amsterdam,7.80
1784,Global,7.86
1785,Amsterdam,8.00
1785,Global,7.36
1786,Amsterdam,7.96
1786,Global,8.26
1787,Amsterdam,9.18
1787,Global,8.03
1788,Amsterdam,8.84
1788,Global,8.45
1789,Amsterdam,8.64
1789,Global,8.33
1790,Amsterdam,9.16
1790,Global,7.98
1791,Amsterdam,9.29
1791,Global,8.23
1792,Amsterdam,9.10
1792,Global,8.09
1793,Amsterdam,9.17
1793,Global,8.23
1794,Amsterdam,9.70
1794,Global,8.53
1795,Amsterdam,8.84
1795,Global,8.35
1796,Amsterdam,9.18
1796,Global,8.27
1797,Amsterdam,9.52
1797,Global,8.51
1798,Amsterdam,9.41
1798,Global,8.67
1799,Amsterdam,7.26
1799,Global,8.51
1800,Amsterdam,8.88
1800,Global,8.48
1801,Amsterdam,9.36
1801,Global,8.59
1802,Amsterdam,8.86
1802,Global,8.58
1803,Amsterdam,8.09
1803,Global,8.50
1804,Amsterdam,8.59
1804,Global,8.84
1805,Amsterdam,7.47
1805,Global,8.56
1806,Amsterdam,9.56
1806,Global,8.43
1807,Amsterdam,9.01
1807,Global,8.28
1808,Amsterdam,8.41
1808,Global,7.63
1809,Amsterdam,8.64
1809,Global,7.08
1810,Amsterdam,8.47
1810,Global,6.92
1811,Amsterdam,10.07
1811,Global,6.86
1812,Amsterdam,8.00
1812,Global,7.05
1813,Amsterdam,8.83
1813,Global,7.74
1814,Amsterdam,7.76
1814,Global,7.59
1815,Amsterdam,8.75
1815,Global,7.24
1816,Amsterdam,7.78
1816,Global,6.94
1817,Amsterdam,8.94
1817,Global,6.98
1818,Amsterdam,9.47
1818,Global,7.83
1819,Amsterdam,9.55
1819,Global,7.37
1820,Amsterdam,8.11
1820,Global,7.62
1821,Amsterdam,9.29
1821,Global,8.09
1822,Amsterdam,10.19
1822,Global,8.19
1823,Amsterdam,8.44
1823,Global,7.72
1824,Amsterdam,9.51
1824,Global,8.55
1825,Amsterdam,9.75
1825,Global,8.39
1826,Amsterdam,9.78
1826,Global,8.36
1827,Amsterdam,8.98
1827,Global,8.81
1828,Amsterdam,9.63
1828,Global,8.17
1829,Amsterdam,7.20
1829,Global,7.94
1830,Amsterdam,8.29
1830,Global,8.52
1831,Amsterdam,9.82
1831,Global,7.64
1832,Amsterdam,8.65
1832,Global,7.45
1833,Amsterdam,9.11
1833,Global,8.01
1834,Amsterdam,10.49
1834,Global,8.15
1835,Amsterdam,9.13
1835,Global,7.39
1836,Amsterdam,9.04
1836,Global,7.70
1837,Amsterdam,8.52
1837,Global,7.38
1838,Amsterdam,7.62
1838,Global,7.51
1839,Amsterdam,8.92
1839,Global,7.63
1840,Amsterdam,8.35
1840,Global,7.80
1841,Amsterdam,9.34
1841,Global,7.69
1842,Amsterdam,9.11
1842,Global,8.02
1843,Amsterdam,9.20
1843,Global,8.17
1844,Amsterdam,8.24
1844,Global,7.65
1845,Amsterdam,7.99
1845,Global,7.85
1846,Amsterdam,10.26
1846,Global,8.55
1847,Amsterdam,8.62
1847,Global,8.09
1848,Amsterdam,9.11
1848,Global,7.98
1849,Amsterdam,8.80
1849,Global,7.98
1850,Amsterdam,8.46
1850,Global,7.90
1851,Amsterdam,8.66
1851,Global,8.18
1852,Amsterdam,9.66
1852,Global,8.10
1853,Amsterdam,7.80
1853,Global,8.04
1854,Amsterdam,8.91
1854,Global,8.21
1855,Amsterdam,7.22
1855,Global,8.11
1856,Amsterdam,8.79
1856,Global,8.00
1857,Amsterdam,9.82
1857,Global,7.76
1858,Amsterdam,8.57
1858,Global,8.10
1859,Amsterdam,9.81
1859,Global,8.25
1860,Amsterdam,7.84
1860,Global,7.96
1861,Amsterdam,9.02
1861,Global,7.85
1862,Amsterdam,9.55
1862,Global,7.56
1863,Amsterdam,9.71
1863,Global,8.11
1864,Amsterdam,7.77
1864,Global,7.98
1865,Amsterdam,9.37
1865,Global,8.18
1866,Amsterdam,9.50
1866,Global,8.29
1867,Amsterdam,8.81
1867,Global,8.44
1868,Amsterdam,10.40
1868,Global,8.25
1869,Amsterdam,8.98
1869,Global,8.43
1870,Amsterdam,8.21
1870,Global,8.20
1871,Amsterdam,7.96
1871,Global,8.12
1872,Amsterdam,10.07
1872,Global,8.19
1873,Amsterdam,9.27
1873,Global,8.35
1874,Amsterdam,9.06
1874,Global,8.43
1875,Amsterdam,8.86
1875,Global,7.86
1876,Amsterdam,9.11
1876,Global,8.08
1877,Amsterdam,9.11
1877,Global,8.54
1878,Amsterdam,9.28
1878,Global,8.83
1879,Amsterdam,7.36
1879,Global,8.17
1880,Amsterdam,9.29
1880,Global,8.12
1881,Amsterdam,8.27
1881,Global,8.27
1882,Amsterdam,9.20
1882,Global,8.13
1883,Amsterdam,9.00
1883,Global,7.98
1884,Amsterdam,9.74
1884,Global,7.77
1885,Amsterdam,8.55
1885,Global,7.92
1886,Amsterdam,8.80
1886,Global,7.95
1887,Amsterdam,7.99
1887,Global,7.91
1888,Amsterdam,7.84
1888,Global,8.09
1889,Amsterdam,8.54
1889,Global,8.32
1890,Amsterdam,8.26
1890,Global,7.97
1891,Amsterdam,8.40
1891,Global,8.02
1892,Amsterdam,8.34
1892,Global,8.07
1893,Amsterdam,9.30
1893,Global,8.06
1894,Amsterdam,9.17
1894,Global,8.16
1895,Amsterdam,8.38
1895,Global,8.15
1896,Amsterdam,8.80
1896,Global,8.21
1897,Amsterdam,9.00
1897,Global,8.29
1898,Amsterdam,9.57
1898,Global,8.18
1899,Amsterdam,9.32
1899,Global,8.40
1900,Amsterdam,9.35
1900,Global,8.50
1901,Amsterdam,8.80
1901,Global,8.54
1902,Amsterdam,8.32
1902,Global,8.30
1903,Amsterdam,9.29
1903,Global,8.22
1904,Amsterdam,9.12
1904,Global,8.09
1905,Amsterdam,8.88
1905,Global,8.23
1906,Amsterdam,9.30
1906,Global,8.38
1907,Amsterdam,8.73
1907,Global,7.95
1908,Amsterdam,8.60
1908,Global,8.19
1909,Amsterdam,8.30
1909,Global,8.18
1910,Amsterdam,9.44
1910,Global,8.22
1911,Amsterdam,9.93
1911,Global,8.18
1912,Amsterdam,9.21
1912,Global,8.17
1913,Amsterdam,9.64
1913,Global,8.30
1914,Amsterdam,9.69
1914,Global,8.59
1915,Amsterdam,8.80
1915,Global,8.59
1916,Amsterdam,9.20
1916,Global,8.23
1917,Amsterdam,8.32
1917,Global,8.02
1918,Amsterdam,9.38
1918,Global,8.13
1919,Amsterdam,8.10
1919,Global,8.38
1920,Amsterdam,9.50
1920,Global,8.36
1921,Amsterdam,10.05
1921,Global,8.57
1922,Amsterdam,8.26
1922,Global,8.41
1923,Amsterdam,8.78
1923,Global,8.42
1924,Amsterdam,8.63
1924,Global,8.51
1925,Amsterdam,9.18
1925,Global,8.53
1926,Amsterdam,9.63
1926,Global,8.73
1927,Amsterdam,8.99
1927,Global,8.52
1928,Amsterdam,9.36
1928,Global,8.63
1929,Amsterdam,8.40
1929,Global,8.24
1930,Amsterdam,9.76
1930,Global,8.63
1931,Amsterdam,8.83
1931,Global,8.72
1932,Amsterdam,9.44
1932,Global,8.71
1933,Amsterdam,9.10
1933,Global,8.34
1934,Amsterdam,10.22
1934,Global,8.63
1935,Amsterdam,9.65
1935,Global,8.52
1936,Amsterdam,9.44
1936,Global,8.55
1937,Amsterdam,9.57
1937,Global,8.70
1938,Amsterdam,9.79
1938,Global,8.86
1939,Amsterdam,9.61
1939,Global,8.76
1940,Amsterdam,8.05
1940,Global,8.76
1941,Amsterdam,8.54
1941,Global,8.77
1942,Amsterdam,8.31
1942,Global,8.73
1943,Amsterdam,9.83
1943,Global,8.76
1944,Amsterdam,9.38
1944,Global,8.85
1945,Amsterdam,10.03
1945,Global,8.58
1946,Amsterdam,9.17
1946,Global,8.68
1947,Amsterdam,9.41
1947,Global,8.80
1948,Amsterdam,9.96
1948,Global,8.75
1949,Amsterdam,10.12
1949,Global,8.59
1950,Amsterdam,9.48
1950,Global,8.37
1951,Amsterdam,9.57
1951,Global,8.63
1952,Amsterdam,8.94
1952,Global,8.64
1953,Amsterdam,9.82
1953,Global,8.87
1954,Amsterdam,8.98
1954,Global,8.56
1955,Amsterdam,8.84
1955,Global,8.63
1956,Amsterdam,8.15
1956,Global,8.28
1957,Amsterdam,9.89
1957,Global,8.73
1958,Amsterdam,9.40
1958,Global,8.77
1959,Amsterdam,10.17
1959,Global,8.73
1960,Amsterdam,9.69
1960,Global,8.58
1961,Amsterdam,9.94
1961,Global,8.80
1962,Amsterdam,8.12
1962,Global,8.75
1963,Amsterdam,7.81
1963,Global,8.86
1964,Amsterdam,9.18
1964,Global,8.41
1965,Amsterdam,8.74
1965,Global,8.53
1966,Amsterdam,9.47
1966,Global,8.60
1967,Amsterdam,9.92
1967,Global,8.70
1968,Amsterdam,9.14
1968,Global,8.52
1969,Amsterdam,9.18
1969,Global,8.60
1970,Amsterdam,9.07
1970,Global,8.70
1971,Amsterdam,9.51
1971,Global,8.60
1972,Amsterdam,8.96
1972,Global,8.50
1973,Amsterdam,9.44
1973,Global,8.95
1974,Amsterdam,9.73
1974,Global,8.47
1975,Amsterdam,9.87
1975,Global,8.74
1976,Amsterdam,9.82
1976,Global,8.35
1977,Amsterdam,9.66
1977,Global,8.85
1978,Amsterdam,8.95
1978,Global,8.69
1979,Amsterdam,8.45
1979,Global,8.73
1980,Amsterdam,9.12
1980,Global,8.98
1981,Amsterdam,9.26
1981,Global,9.17
1982,Amsterdam,9.98
1982,Global,8.64
1983,Amsterdam,9.95
1983,Global,9.03
1984,Amsterdam,9.34
1984,Global,8.69
1985,Amsterdam,8.42
1985,Global,8.66
1986,Amsterdam,8.79
1986,Global,8.83
1987,Amsterdam,8.66
1987,Global,8.99
1988,Amsterdam,10.21
1988,Global,9.20
1989,Amsterdam,10.57
1989,Global,8.92
1990,Amsterdam,10.63
1990,Global,9.23
1991,Amsterdam,9.32
1991,Global,9.18
1992,Amsterdam,10.39
1992,Global,8.84
1993,Amsterdam,9.47
1993,Global,8.87
1994,Amsterdam,10.45
1994,Global,9.04
1995,Amsterdam,10.25
1995,Global,9.35
1996,Amsterdam,8.32
1996,Global,9.04
1997,Amsterdam,10.03
1997,Global,9.20
1998,Amsterdam,10.18
1998,Global,9.52
1999,Amsterdam,10.74
1999,Global,9.29
2000,Amsterdam,10.75
2000,Global,9.20
2001,Amsterdam,10.24
2001,Global,9.41
2002,Amsterdam,10.64
2002,Global,9.57
2003,Amsterdam,10.28
2003,Global,9.53
2004,Amsterdam,10.27
2004,Global,9.32
2005,Amsterdam,10.48
2005,Global,9.70
2006,Amsterdam,10.97
2006,Global,9.53
2007,Amsterdam,11.04
2007,Global,9.73
2008,Amsterdam,10.42
2008,Global,9.43
2009,Amsterdam,10.33
2009,Global,9.51
2010,Amsterdam,8.84
2010,Global,9.70
2011,Amsterdam,10.73
2011,Global,9.52
2012,Amsterdam,10.08
2012,Global,9.51
2013,Amsterdam,9.54
2013,Global,9.61
2014,Global,9.57
2015,Global,9.83
